sku,price,ProductTitle,Designer,category,template,ReferenceCode,in_stock
141451,228.00," Michael Kors Jet Set East West Brown Leather Tote ","Michael Kors",Handbags,Handbags,140629-141451-PBP-MZ,1
141452,228.00,"Michael Kors Jet Set East West Red Leather Large  Tote","Michael Kors",Handbags,Handbags,140629-141452-PBP-MZ,1
141453,228.00," Michael Kors Jet Set East West Red Leather Tote ","Michael Kors",Handbags,Handbags,140629-141453-PBP-MZ,1
141454,228.00," Michael Kors Jet Set East West Red Leather Tote ","Michael Kors",Handbags,Handbags,140629-141454-PBP-SH,1
141455,228.00,"Michael Kors Jet Set East West Red Saffiano Leather Tote","Michael Kors",Handbags,Handbags,140629-141455-CN-MZ,1
141456,228.00," Michael Kors Jet Set Blue Leather Tote ","Michael Kors",Handbags,Handbags,140629-141456-PBP-SH,1
141457,267.26,"Michael Kors Jet Set Blue Saffiano Leather Tote","Michael Kors",Handbags,Handbags,140629-141457-PBP-MZ,1
141458,267.26," Michael Kors Jet Set Blue Leather Tote ","Michael Kors",Handbags,Handbags,140629-141458-PBP-MZ,1
141459,267.26,"Michael Kors Jet Set Blue Leather Large Tote","Michael Kors",Handbags,Handbags,140629-141459-PBP-MZ,1
141461,267.26,"Michael Kors Large Jet Set East West Black Leather Tote","Michael Kors",Handbags,Handbags,140629-141461-PBP-MZ,1
141463,267.26," Michael Kors Jet Set East West Black Leather Tote ","Michael Kors",Handbags,Handbags,140629-141463-PBP-MZ,1
141464,228.00," Michael Kors Jet Set East West Black Leather Tote ","Michael Kors",Handbags,Handbags,140629-141464-CN-MZ,1
141465,228.00," Michael Kors Jet Set Purple Leather Tote ","Michael Kors",Handbags,Handbags,140629-141465-PBP-MZ,1
141467,228.00,"Michael Kors Jet Set Purple Saffiano Leather Tote","Michael Kors",Handbags,Handbags,140629-141467-PBP-SH,1
141468,228.00,"Michael Kors Jet Set Red Saffiano Leather Tote","Michael Kors",Handbags,Handbags,140629-141468-PBP-MZ,1
141469,228.00,"Michael Kors Large Jet Set Red Leather Tote","Michael Kors",Handbags,Handbags,140629-141469-PBP-MZ,1
141470,228.00," Michael Kors 35H7GTVT3L Jet Set Red Leather Tote ","Michael Kors",Handbags,Handbags,140629-141470-PBP-SH,1
141471,228.00," Michael Kors Jet Set Red Leather Tote ","Michael Kors",Handbags,Handbags,140629-141471-PBP-MZ,1
141478,240.00," Kate Spade Leighann Grey Leather Tote ","Kate Spade",Handbags,Handbags,140633-141478-PNI-SA,1
141479,252.00," Kate Spade Leighann Grey Leather Tote ","Kate Spade",Handbags,Handbags,140633-141479-PNI-SH,1
141480,240.00," Kate Spade Leighann Blue Leather Satchel ","Kate Spade",Handbags,Handbags,140633-141480-PNI-MZ,1
141481,240.00," Kate Spade Leighann Blue Leather Satchel ","Kate Spade",Handbags,Handbags,140633-141481-PNI-SH,1
141482,240.00," Kate Spade Leighann Black Leather Tote ","Kate Spade",Handbags,Handbags,140633-141482-PNI-MZ,1
141483,252.00," Kate Spade Leighann Black Leather Tote ","Kate Spade",Handbags,Handbags,140633-141483-PNI-SH,1
141484,216.00,"Kate Spade Lise Black Pebble Leather Shoulder Bag","Kate Spade",Handbags,Handbags,140633-141484-PST-MZ,1
141485,216.00," Kate Spade Lise Black Leather Shoulder Bag ","Kate Spade",Handbags,Handbags,140633-141485-PST-SH,1
141486,216.00," Kate Spade Lise Black Leather Shoulder Bag ","Kate Spade",Handbags,Handbags,140633-141486-PST-MZ,1
141488,216.00," Kate Spade Lise Burgundy Leather Satchel ","Kate Spade",Handbags,Handbags,140633-141488-PST-SH,1
141643,180.00," Celine Brown Leather & Pony Hair Satchel ",Celine,Handbags,Handbags,140744-141643-TS-SH,1
141800,360.00," Mulberry Tessie Red Leather Tote ",Mulberry,Handbags,Handbags,140852-141800-PMS-SH,1
141804,2400.00," Goyard St Louis GM White Monogram Canvas Tote ",Goyard,Handbags,Handbags,140853-141804-PSIS-SH,1
141845,432.00," Chloe Alice Beige & Black Leather Satchel ",Chloe,Handbags,Handbags,140884-141845-PIS-SH,1
141884,288.00," Alexander Wang Diego Grey Leather Shoulder Bag ","Alexander Wang",Handbags,Handbags,140916-141884-PNS-SH,1
142019,1800.00," Chanel Brown Quilted Lambskin Leather Shoulder Bag ",Chanel,Handbags,Handbags,141010-142019-IUI-KA,1
142030,624.00,"Louis Vuitton M42256 Saumur 30 Monogram Shoulder Bag","Louis Vuitton",Handbags,Handbags,141010-142030-NCS-SH,1
142039,720.00,"Louis Vuitton M51512 Croissant MM Monogram Shoulder Bag","Louis Vuitton",Handbags,Handbags,141010-142039-EBP-SH,1
142054,502.34,"Louis Vuitton Viva Cite GM M51163 Monogram Shoulder Bag","Louis Vuitton",Handbags,Handbags,141010-142054-NSC-SH,1
142076,1008.00," Chanel Brown Quilted Lambskin Leather Tote ",Chanel,Handbags,Handbags,141019-142076-UTP-SH,1
142077,480.00," Chanel Black Quilted Lambskin Leather Clutch ",Chanel,Handbags,Handbags,141019-142077-NBE-KA,1
142079,720.00,"Louis Vuitton M45244 Nil Monogram Crossbody Bag","Louis Vuitton",Handbags,Handbags,141019-142079-EBT-SH,1
142080,1020.00," Louis Vuitton M92178 Graffiti Alma PM Black & White Leather Satchel ","Louis Vuitton",Handbags,Handbags,141019-142080-UES-KA,1
142097,120.00," Hermes Fourre Tout PM Black Canvas Tote ",Hermes,Handbags,Handbags,141019-142097-MI-SH,1
142120,264.00,"Louis Vuitton M51385 Papallion 30 MonogramShoulder Bag","Louis Vuitton",Handbags,Handbags,141019-142120-PNS-KA,1
142122,192.00,"Michael Kors Braided Hamilton Brown Leather Tote","Michael Kors",Handbags,Handbags,141019-142122-CU-SH,1
142127,1080.00," Christian Dior Lady Dior Black Quilted Leather Satchel ","Christian Dior",Handbags,Handbags,141019-142127-UCN-SH,1
